name,gender,probability,count
Eldrid,male,0.57,21
Maik,male,0.99,13175
G.,NA,0,0
E.,NA,0,0
C.,NA,0,0
J.,NA,0,0
H.,NA,0,0
A.,NA,0,0
P.,NA,0,0
B.,NA,0,0
R.,NA,0,0
L.,NA,0,0
Simonis,male,0.64,28
Simon,male,0.98,71276
Peter,male,0.99,165452
Andrea,male,0.62,302977
Silvan,male,0.96,902
Christa,female,0.98,4279
Thomas,male,0.99,176440
Ãrni,NA,0,0
Ingela,female,0.99,1042
Heidi,female,0.97,15937
Marcel,male,0.99,63607
Barbara,female,0.98,94709
Stella,female,0.98,39506
Ammar,male,0.97,6181
Zita-Rose,NA,0,0
Fiona,female,0.97,11154
Kirsten,female,0.97,6031
Cornelia,female,0.98,7223
Christoph,male,1,17656
Beatrice,female,0.98,24617
Michael,male,0.99,245870
Gil,male,0.92,7595
Ursula,female,0.98,7051
Christine,female,0.99,91004
Philippe,male,0.99,82618
Antoinette,female,0.98,3250
Angela,female,0.99,106685
Sabine,female,0.98,43397
Penelope,female,0.98,3904
Alessandro,male,0.99,126666
Emmanuel,male,0.99,45589
Tilmann,male,1,77
Dario,male,0.99,41022
Sonja,female,0.98,21258
Ulrich,male,0.98,5397
Hans,male,0.97,37182
Lenz,male,0.8,159
Hermann,male,0.98,6231
Bernice,female,0.98,1820
Adrian,male,0.99,90344
Alexander,male,0.99,66065
Wolfgang,male,0.99,12915
Michelle,female,0.98,66334
Roberto,male,0.99,151858
Emil,male,0.98,16783
Gerd,male,0.93,4428
Corinne,female,0.98,31832
Ferran,male,0.99,2847
Ruth,female,0.98,28718
Caroline,female,0.98,64753
Dominique,male,0.57,51398
Ingrid,female,0.98,26843
O.,NA,0,0
T.,NA,0,0
Ridvan,male,0.97,2262
Tina,female,0.98,56487
Lucas,male,0.98,40689
Hole,male,0.92,72
Christina,female,0.98,35006
Ulla,female,0.96,3179
Sarah,female,0.98,174584
Nadja,female,0.97,8845
M.,NA,0,0
Alain,male,0.99,76390
Stefanie,female,0.97,25370
Tamaki,female,0.65,97
Martina,female,0.99,101262
Susann,female,0.97,3070
Dres,male,0.84,81
Jessica,female,0.98,144795
Ivo,male,0.98,12873
Ernst,male,0.98,2680
Mirja,female,0.95,710
Rodrigo,male,0.99,22355
Ueli,male,0.98,409
Peter-Paul,male,1,35
Caspar,male,0.95,386
Catherine,female,0.98,50312
Larissa,female,0.98,10179
